影片 ID,影片標題,發布日期,時長,觀看次數,按讚數,留言數,"觀看時數
(小時)",曝光次數,"曝光點
閱率(%)","預估收益
(USD)"
PRBdhQuXUcg,Line Rangers X 貓咪大戰爭 數據分析EP.100 || 同為十年的塔防遊戲！評價為何差距甚大！？ ||,2026-01-23,22:12,"111,356","2,112",352,"9,356.9","1,642,488",5.78%,$121.87
46Oi3KJArgA,Line Ranger隨手拍系列 EP.7 || 無限之塔100樓-BUG!?史考特一人打一路?? ||,2022-10-16,2:55,"22,789",121,27,538.1,"263,042",6.19%,$23.29
wZT3Ygrq4ko,Line Rangers-觀眾投稿EP.373 || 完全做壞的能力組！千金兔兔登上坦克巔峰！？ || @henry_ouo,2024-09-02,2:38,"22,103",224,46,538.8,"154,311",11.56%,$22.49
6DSFxovxLnY,Line Rangers始祖系列 EP.44 || 驚奇蒙－讓遊戲為他改數值的神 ||,2023-05-28,3:36,"21,288",144,21,668.3,"178,396",10.50%,$28.30
WTIZgBsYR2g,Line Rangers 數據分析EP.14 || 到底是超進化240等強勢？還是九星160等厲害？萬年的進化難題 ||,2023-08-05,2:19,"21,034",192,26,440.6,"152,460",11.77%,$26.48
Qnxaqpj2uDU,LINE Rangers || 常駐青蛙裝！裝備分析＋抽裝攻略！ ||,2023-11-13,4:11,"20,300",206,19,653.0,"135,040",12.66%,$30.02
-OBfthsnvHE,Line Rangers-觀眾投稿EP.142 || 英勇決戰鱷魚王！拿起標槍打獵去～ ||,2023-04-29,4:18,"20,281",169,33,713.2,"147,219",11.65%,$32.98
Vv0wdxZRS1M,Line Rangers 數據分析EP.30 || 2023年度回顧，誰是最強光暗坦克？ ||,2023-12-26,3:59,"19,071",161,39,626.6,"155,686",10.38%,$28.19
9yzmDhzPqPE,Line Rangers觀眾求救系列 EP.16 || 主困105關&117關-不用光暗！這些冷門寵讓你大開眼界 ||,2022-10-12,2:56,"18,133",132,27,488.5,"118,463",13.11%,$24.79
CiHkG0PTfsE,Line Rangers 數據分析EP.45 || 傳奇生態大風吹！！一隻部長影響了多少？ ||,2024-09-09,5:24,"17,450",222,20,681.2,"124,384",11.93%,$18.33
4xaclp3k_p0,LINE Rangers銀河特攻隊 || 11週年免費扭蛋開跑！ ||,2025-02-28,1:05,"17,404",139,36,197.2,"81,079",16.56%,$17.61
UbTgRebcTqc,LINE Rangers || 2024聖誕活動－裝備分析+抽裝攻略 ||,2024-12-20,3:08,"17,129",139,48,419.5,"114,756",12.09%,$20.96
zfq-cgerhzc,Line Rangers-觀眾投稿EP.129 || 出動能力bug再現！艾連小命不保？ ||,2023-03-31,4:28,"17,066",124,54,602.8,"119,567",12.42%,$30.86
GfkOfRFlo3I,Line Rangers-觀眾投稿EP.302 || 魯迪烏斯回歸！但怎麼又是停產？ ||,2024-03-29,4:39,"16,738",167,42,581.0,"115,583",11.96%,$29.83
55m58h65Jl4,Line Rangers-觀眾投稿EP.226 || 鹹魚翻身！破天荒的兩次上調 ||,2023-10-06,4:24,"16,438",152,36,525.5,"179,894",7.60%,$21.53
tOiDffoQTEc,Line Rangers隨手拍EP.83 || 超猛五人陣？進攻勝率93%！ ||,2025-01-10,5:09,"16,411",194,35,624.9,"111,169",12.41%,$24.52
g0Sr49fv6ag,LINE Rangers || 2023聖誕活動－裝備分析+抽裝攻略 ||,2023-12-22,2:40,"16,254",174,53,396.0,"113,357",12.01%,$24.13
Kb4ZJSNYV_w,Line Rangers 數據分析EP.15 || 百抗優先還是百閃優先？技能必中怎麼破壞對戰環境的？ ||,2023-08-19,2:43,"16,133",230,32,395.0,"111,621",10.38%,$20.12
GuRTx0mMXtY,Line Rangers 數據分析EP.38 || 潛力提升怎麼點？潛力全解說！ ||,2024-06-02,3:36,"16,081",297,7,421.4,"100,753",11.46%,$19.12
WLXuvlzcW30,Line Rangers 數據分析EP.8 || 光屬力坦的熊大們－都很強，但誰更強？ ||,2023-01-08,3:10,"16,039",158,29,456.0,"120,204",11.74%,$23.11
BL0PNKufjqQ,(有字幕)Line Rangers-觀眾投稿EP.525 || 山蔘熊大－你可能低估的強度！？ ||,2025-08-31,5:02,"15,497",162,54,641.7,"119,386",11.06%,$17.03
PvE2EeI_LPc,LINE Rangers || 週年扭蛋池來了！居然有免費光暗寵？ ||,2024-02-29,1:24,"15,487",165,63,205.8,"90,407",12.51%,$18.98
cYRGb1mnL_c,Line Rangers-觀眾投稿EP.248 || 火打成功翻身！惠惠大砲殺出重圍 ||,2023-11-30,5:07,"15,057",162,48,573.0,"111,112",11.21%,$16.24
6eFtlPT0WKo,Line Rangers-觀眾投稿EP.552 || 約兒－久違的木坦克歸來！？ || @summerize_pk,2025-11-29,5:12,"14,914",154,28,554.3,"94,798",13.33%,$16.38
RS7ML9RG71E,Line Rangers-觀眾投稿EP.570 || 秦始皇(始皇帝)－火智慧地圖炮降臨！ ||,2026-01-30,5:41,"14,856",125,32,596.0,"86,008",14.66%,$10.61
tK1gmm6ZwCY,Line Rangers-觀眾投稿EP.127 || 李奧納德手裡劍－開箱+實戰+分析！ ||,2023-03-27,3:16,"14,520",128,48,351.5,"84,421",13.21%,$19.93
B8ktDOJTqq4,Line Rangers 數據分析EP.19 || 死神熊大的各種比較... ||,2023-11-04,4:50,"14,504",185,39,591.9,"127,610",9.65%,$23.23
kEDZFM-PEjc,(有字幕)Line Rangers-觀眾投稿EP.516 || 帕瓦－披著敏捷皮的智寵！ ||,2025-08-01,6:52,"14,460",129,39,669.7,"117,200",10.28%,$16.74
IFdo5h-r5Vk,Line Ranger隨手拍系列 EP.11 || 第一波代幣Rangers－黃金熊大，坦度再次突破天花板？ ||,2023-01-10,3:53,"14,244",119,37,432.5,"93,694",13.11%,$22.86
HER2BTincnQ,Line Rangers-觀眾投稿EP.419 || 坂田銀時－多功能的坦克巔峰 ||,2024-11-30,3:24,"14,132",137,41,426.4,"95,011",12.16%,$16.51
o27khesctcA,Line Rangers-觀眾投稿EP.418 || 最狠水打神樂！兩年了，增礦來了！ ||,2024-11-29,3:58,"14,122",142,68,454.7,"95,246",11.99%,$16.23
tXmxXChLzvk,Line Rangers 數據分析EP.28 || 2023年度回顧，誰是最強合作坦？ ||,2023-12-21,2:56,"14,060",129,26,375.1,"110,932",10.56%,$19.46
t03Ts_M4dzU,Line Rangers-觀眾投稿EP.536 || 恩琴－電暈聚集的控場打手！ ||,2025-09-30,7:07,"14,028",136,43,675.4,"96,046",11.64%,$17.57
XnczgHJELGg,Line Rangers-觀眾投稿EP.156 || 光熊陣！上吧官方的兒子們 ||,2023-05-19,3:41,"14,024",128,35,463.9,"125,649",9.43%,$19.62
og3barcRNCA,Line Rangers-觀眾投稿EP.333 || 最近很紅的百大寵？這隻蟲到底強在哪？ ||,2024-06-03,3:11,"13,915",149,31,437.0,"99,798",11.37%,$16.44
b3NxpHX-LOQ,Line Rangers-觀眾投稿EP.106 || 傳奇PvP紀念！一隻艾連就搞死對手？ ||,2023-02-08,2:12,"13,772",114,21,312.5,"102,952",11.95%,$17.10
080VjWaoRzA,(有字幕)Line Rangers-觀眾投稿EP.515 || 淀治－逆天的強突數值怪！？ || @cute-cat3120,2025-07-31,5:46,"13,770",144,34,492.2,"82,508",13.71%,$14.08
Umxgxt2pE0A,Line Rangers-觀眾投稿EP.249 || 超越NFT的坦克？超華麗的阿克婭登場 ||,2023-12-01,3:25,"13,747",161,31,405.0,"94,454",12.50%,$15.02
BvSgugGqPoo,LINE Rangers銀河特攻隊 || 11.5週年扭蛋！扭蛋池角色分析 ||,2025-08-29,1:13,"13,744",151,21,172.5,"92,780",11.35%,$12.22
Hyp94mGK2fE,Line Rangers隨手拍EP.56 || 週年光暗偶像莎莉！獨特能力組強勢登場 ||,2024-03-02,3:29,"13,721",125,34,416.0,"109,171",10.62%,$17.86
xPjv2KpkobA,Line Rangers-觀眾投稿EP.551 || 安妮亞－讓誘惑重返戰場吧！ ||,2025-11-28,5:47,"13,692",141,37,568.9,"87,863",13.38%,$20.21
SnLlczdfQd8,Line Rangers-觀眾投稿EP.535 || 香檳兔兔－左打狂徒右打怕瓦！？ ||,2025-09-26,5:36,"13,491",129,18,527.9,"106,013",10.27%,$13.79
w0w6zeopS_M,Line Rangers-觀眾投稿EP.374 || 扭蛋歪出饅頭人？PvP照樣囂張！ ||,2024-09-03,4:11,"13,338",131,32,449.4,"95,647",10.99%,$13.73
P-Uv706M9PU,Line Rangers隨手拍EP.116 || 河童饅頭人－新能力讓普攻再次偉大？ ||,2025-11-01,8:26,"13,107",132,31,698.7,"100,517",10.95%,$19.66
d9zzHx_cdnw,Line Rangers-觀眾投稿EP.537 || 路德－極可能做壞的才能？ || @pfytw,2025-10-01,6:03,"13,084",183,37,515.3,"93,854",10.94%,$16.88
2LhDw-we4b0,LINE Rangers || 間諜家家酒合作！裝備分析＋抽裝攻略 ||,2025-11-30,1:59,"12,905",105,50,237.7,"76,465",12.97%,$9.73
YiD7cBUIZeE,Line Rangers-觀眾投稿EP.360 || 轉職坦克的萬次郎！突破＋聚集有搞頭？ ||,2024-07-31,4:28,"12,864",147,50,449.1,"88,690",12.23%,$17.18
ZhKPP0XTlug,Line Rangers-觀眾投稿EP.259 || 彩虹流星開箱現場！ ||,2024-01-05,0:22,"12,860",46,30,68.2,"69,099",16.38%,$1.10
Riru9NsliOI,LINE Rangers || 無職轉生II限定裝備－裝備分析+抽裝攻略 ||,2024-03-29,1:46,"12,695",113,30,209.0,"88,094",11.45%,$18.36
qy5JyTzPqfE,Line Ranger隨手拍系列 EP.8 || 賭徒兔兔九星進化！-這拉霸機的坦度也太香！ ||,2022-10-31,3:21,"12,682",102,29,404.3,"96,114",11.23%,$18.12
i5thk28nb8k,Line Rangers始祖系列特別篇-老寵打主困 || 你沒看過的主困打法 ||,2022-09-30,2:20,"12,677",96,18,287.8,"83,523",12.70%,$12.36
bLlCKIe0yWY,(有字幕)Line Rangers銀河特攻隊 || 大規模更新－新系統才能即將登場！ ||,2025-07-25,4:56,"12,639",155,33,437.4,"87,577",11.83%,$17.18
D9ra_oeFFyM,LINE Rangers || 2024賞月裝備分析！常駐減產必登場！ ||,2024-08-31,2:43,"12,629",107,29,290.3,"89,896",11.73%,$12.78
Gv-tkLOA_ds,Line Rangers-觀眾投稿EP.293 || 毅力初音上傳奇－最扯的傳奇戰！？ ||,2024-03-09,2:00,"12,629",148,34,279.0,"98,312",10.50%,$13.10
SEaCmVtqrmA,Line Rangers 數據分析EP.25 || 2023年度回顧，誰是最強光暗打？ ||,2023-12-15,3:32,"12,608",108,19,382.2,"94,919",11.09%,$18.17
pwKlGVgXmYQ,Line Rangers 數據分析EP.4 || 新李奧納德融合機制-如何穩穩地每月拿到蛙? || feat. @187Y,2022-11-25,4:04,"12,603",151,37,321.7,"70,143",13.93%,$17.72
uRH8R8GatQc,Line Rangers-觀眾投稿EP.276 || 後排火打！？站最遠的重置出世！ ||,2024-01-31,3:25,"12,598",117,31,366.3,"92,300",11.64%,$19.05
ejK7Gs8it2Y,Line Rangers-觀眾投稿EP.372 || 停產的噩夢降臨！與搖滾平起平坐的部長 ||,2024-09-01,3:53,"12,324",149,46,414.3,"94,242",10.55%,$13.30
4FH98jBEYJQ,Line Rangers-觀眾投稿EP.318 || 三劍客熊大！久違的暗打手...？ ||,2024-04-27,4:19,"12,286",115,28,449.0,"81,814",12.45%,$20.51
VMHM0vUo_U0,Line Rangers-觀眾投稿EP.303 || 菲茲新後移打手，雷姆地位首次被威脅？ ||,2024-03-30,3:47,"12,147",120,26,411.3,"80,382",12.40%,$21.29
Ox8RWWYmbZ8,Line Rangers 數據分析特別篇 || 2024~2025排名變化總回顧！ ||,2025-07-30,6:29,"11,941",108,20,561.2,"145,798",7.01%,$18.05
YwX77J1xV1I,Line Rangers-觀眾投稿EP.76 || 艾蓮強勢回歸!-當年的互換，進化成超猛突破 ||,2022-12-01,3:43,"11,919",83,31,368.1,"78,086",12.83%,$16.37
zD0V6UTS_k0,Line Rangers 數據分析EP.17 || 屬性兩三事－屬性強化是什麼？屬性轉換會影響能力？ ||,2023-10-01,1:44,"11,885",157,25,236.4,"86,250",10.86%,$12.36
hvRJqQnKPxY,Line Rangers-觀眾投稿EP.223 || 極為罕見！不能破無敵的合作大獎 ||,2023-09-27,3:13,"11,863",106,36,334.5,"96,491",10.67%,$13.85
xxFLSfT-fps,(有字幕)Line Rangers-觀眾投稿EP.445 || 瑪露希爾－久違的智慧地圖炮！ ||,2025-01-31,4:05,"11,861",126,40,383.6,"68,452",14.04%,$13.88
hwzOPcBq8mM,LINE Rangers銀河特攻隊 || 11.5週年預告－寵裝、活動搶先曝光！ ||,2025-08-27,5:26,"11,794",165,27,454.5,"95,720",9.92%,$13.25
gyXrtqBdiIw,Line Rangers-觀眾投稿EP.130 || 強行突破坦克再現！永遠小命不保？ ||,2023-04-01,4:25,"11,631",100,33,364.5,"78,062",13.15%,$17.34
